Name,Campaign Type,Template,Status,Status Reason
Barista Monthly Digest,Direct Marketing,No,Active,Launched
Coffee Innovation Webinar,Event,No,Active,Launched
Coffee Machine Excellence,Advertisement,No,Active,Launched
Coffee Trade Fair,Event,No,Active,Launched
Customer Care Campaign,Other,No,Active,Launched
Customer Follow-up,Other,No,Active,Launched
Global Coffee Expo,Event,No,Active,Launched
Intelligent Coffee Machine Showcase,Co-branding,No,Active,Launched
Loyalty Customer Promotion,Direct Marketing,No,Active,Launched
New Product Release,Direct Marketing,No,Active,Launched
Perfect Brew Coffee  Webinar,Co-branding,No,Active,Launched
Sustainable Coffee Newsletter,Direct Marketing,No,Active,Launched
